Network,Category,Price,Allowance,"Product ID",Validity
AIRTEL,Daily,100.00,100MB,AI2,1Day
AIRTEL,Daily,200.00,200MB,AI3,3Day
AIRTEL,Weekly,500.00,750MB,AI5,7Day
AIRTEL,Monthly,1000.00,1.2GB,AI6,30Day
AIRTEL,Monthly,1500.00,3GB,AI7,30Day
AIRTEL,Monthly,2000.00,4.5GB,AI8,30Day
AIRTEL,Monthly,2500.00,6GB,AI9,30Day
AIRTEL,Monthly,3000.00,10GB,AR1,30Days
AIRTEL,Monthly,4000.00,15GB,AR2,30Days
AIRTEL,Monthly,5000.00,18GB,AR3,30Days
AIRTEL,Monthly,10000.00,40GB,AR4,30Days
AIRTEL,Monthly,15000.00,75GB,AR5,30Days
AIRTEL,Monthly,20000.00,120GB,AR6,30Days
Airtel,Daily,50.00,40MB,ART1,1day
Airtel,Daily,350.00,350MB,ART2,"7 days"
Airtel,Daily,350.00,1GB,ART3,"1 day"
Airtel,Daily,500.00,"2GB + 400MB Youtube Music",ART4,"1 day"
Airtel,Monthly,1200.00,1.5GB,ART5,30days
Airtel,Weekly,1500.00,5GB,ART6,"7 days"
AIRTEL,Monthly,30000.00,240GB,ARR1,30Days
AIRTEL,Monthly,36000.00,280GB,ARR2,30Days
AIRTEL,Quarterly,50000.00,400GB,ARR3,90Days
AIRTEL,Quarterly,60000.00,500GB,ARR4,120Days
AIRTEL,Yearly,100000.00,1TB,ARR5,365days
AIRTEL,Monthly,8000.00,30GB,ATL10,"30 Days"
AIRTEL,Daily,400.00,1.5GB,ANR1,"2 Days"
AIRTEL,Daily,800.00,3.5GB,ANR2,"2 Days"
AIRTEL,Weekly,600.00,1GB,ANR3,"7 Days"
AIRTEL,Weekly,1000.00,1.5GB,ANR4,"7 Days"
AIRTEL,Weekly,2000.00,7GB,ANR5,"7 Days"
AIRTEL,Weekly,5000.00,25GB,ANR7,"7 Days"
AIRTEL,Daily,400.00,1.5GB,ANR8,"2 Days"
AIRTEL,Daily,800.00,3.5GB,ANR10,"2 Days"
AIRTEL,Monthly,6000.00,23GB,ANR12,"1 Month"
AIRTEL,Daily,50.00,"40MB SOCIAL MEDIA",ANR13,"1 day"
AIRTEL,Daily,100.00,"200MB SOCIAL MEDIA",ANR14,"5 Days"
AIRTEL,Daily,100.00,"400MB TIKTOK",ANR15,"3 Days"
AIRTEL,Daily,200.00,"1024MB TIKTOK",ANR16,"14 Days"
AIRTEL,Daily,200.00,"2048MB SOCIAL MEDIA",ANR18,"1 Hr"
AIRTEL,Daily,300.00,"700MB SOCIAL MEDIA",ANR19,"25 Days"
