Network,Category,Price,Allowance,"Product ID",Validity
9MOBILE,Daily,50.00,50MB,ET1,"1 Day"
9MOBILE,Daily,100.00,"100MB+100m social",ET2,"1 Day"
9MOBILE,Daily,200.00,650MB,ET5,"1 Day"
9MOBILE,Weekly,1500.00,7GB,ET9,"7 Days"
9MOBILE,Daily,500.00,"2GB+100MB social",ES4,"3 Days"
9MOBILE,Monthly,1000.00,"2GB (2GB Night)",ES5,"30 Days"
9MOBILE,Monthly,1200.00,"6.2GB(2.2GB + 4GB Night)",ES6,"30 Days"
9MOBILE,Monthly,3000.00,"15Gb(10Gb + 5GB Night)",ES8,"30 Days"
9MOBILE,Monthly,4000.00,"18.5GB(15GB+3.5GB Night)",ES9,"30 Days"
9MOBILE,Monthly,5000.00,22GB,EL1,"30 Days"
9MOBILE,Monthly,10000.00,50GB,EL2,"30 Days"
9MOBILE,Monthly,15000.00,80GB,EL3,"30 Days"
9MOBILE,Monthly,25000.00,75GB,EL5,90Days
9MOBILE,Monthly,50000.00,165GB,EL6,180days
9MOBILE,Monthly,20000.00,125GB,EL7,30DAYS
9MOBILE,Monthly,100000.00,365GB,EL8,365DAYS(1Yr)
9MOBILE,Daily,300.00,1GB,EQ1,"1 day"
9MOBILE,Daily,150.00,200MB,EL310,"3 days"
9MOBILE,Monthly,2500.00,"Data 11GB (7GB+ 4GB Night) Data",EQ2,"1 Month"
9MOBILE,Monthly,7000.00,"35 GB Data",EQ3,"1 Month"
