Network,Category,Price,Allowance,"Product ID",Validity
GLO,Daily,50.00,50MB,18,"1 Day"
GLO,Daily,100.00,150MB,GD3,"2 Days"
GLO,Daily,200.00,350MB,28,"2 Day"
GLO,Daily,500.00,1.8GB,GD5,"14 Days"
GLO,Monthly,1000.00,3.9GB,GD6,"30 Days"
GLO,Monthly,2000.00,9.2GB,GD7,"30 Days"
GLO,Monthly,2500.00,10.8GB,GD8,"30 Days"
GLO,Monthly,4000.00,18GB,GL1,"30 Days"
GLO,Monthly,5000.00,24GB,GL2,"30 Days"
GLO,Monthly,8000.00,29.5GB,GL3,"30 Days"
GLO,Monthly,10000.00,50GB,GL4,"30 Days"
GLO,Monthly,15000.00,93GB,GL5,"30 Days"
GLO,Monthly,18000.00,119GB,GL6,"30 Days"
GLO,Monthly,20000.00,138GB,GL7,"30 Days"
GLO,Night,50.00,500MB,GL9,"1 Day"
GLO,Night,100.00,1GB,GO1,"5 Days"
GLO,Special,1500.00,7GB,GO2,"7 Days"
GLO,Monthly,3000.00,14GB,GDD1,"30 Days"
GLO,Monthly,1500.00,7.5GB,GX1,"30 Days"
Glo,Daily,200.00,1.25GB,GL01,"1 day"
GLO,Night_25,25.00,250MB,GL101,"1 Day"
GLO,Special,300.00,1G,GL102,"1 Day"
GLO,"Special 500",500.00,2GB,GL104,"2 Days"
GLO,Weekend500,500.00,3GB,GL105,"2 Days"
GLO,GLOMEGA30000,30000.00,225GB,GL107,"30 Days"
GLO,GLOMEGA36000,36000.00,300GB,GL108,"30 Days"
GLO,GLOMEGA50000,50000.00,425GB,GL109,"90 DAYS"
GLO,GLOMEGA60000,60000.00,525GB,GL110,"120 Days"
GLO,GLOMEGA75000,75000.00,675GB,GL111,"120 Days"
GLO,GLOMEGA100000,100000.00,1TB,GL112,"365 Days"
GLO,GLOTV_VOD_3Days,150.00,500MB,GL113,"3 Days"
GLO,GLOTV_VOD_7Days,450.00,2GB,GL114,"7 Days"
GLO,GLOTV_VOD_30Days,1400.00,6GB,GL115,"30 Days"
GLO,GLOTV_Lite,900.00,2GB,GL117,"7 Days"
GLO,GLOTV_Max,3200.00,6GB,GL118,"30 Days"
GLO,WTF_N25,25.00,100MB,GL119,"1 Day"
GLO,WTF_N50,50.00,200MB,GL120,"7 Days"
GLO,WTF_N100,100.00,500MB,GL121,"30 Days"
GLO,TELEGRAMN25_Oneoff,25.00,20MB,GL122,"1 Day"
GLO,TELEGRAMN50_Oneoff,50.00,50MB,GL123,"7 Days"
GLO,TELEGRAMN100_Oneoff,100.00,125MB,GL124,"30 Days"
GLO,INSTAGRAMN25_ONEOFF,25.00,20MB,GL125,"1 Day"
GLO,INSTAGRAMN50_ONEOFF,50.00,50MB,GL126,"7 Days"
GLO,INSTAGRAMN100_ONEOFF,100.00,125MB,GL127,"30 Days"
GLO,TIKTOKN25_ONEOFF,25.00,20MB,GL128,"1 Day"
GLO,TIKTOKN50_ONEOFF,50.00,50MB,GL129,"7 Days"
GLO,TIKTOKN100_ONEOFF,100.00,125MB,GL130,"30 Days"
GLO,OPERA_N25_Oneoff,25.00,25MB,GL131,"1 Day"
GLO,OPERA_N50_Oneoff,50.00,100MB,GL133,"7 Days"
GLO,OPERA_N100_Oneoff,100.00,300MB,GL134,"30 Days"
GLO,YouTube_N50_Oneoff,50.00,100MB,GL135,"1 Day"
GLO,YouTube_N100_Oneoff,100.00,200MB,GL136,"7 Days"
GLO,YouTube_N250_Oneoff,250.00,500MB,GL137,"30 Days"
GLO,YouTube_50_Time_Oneoff,50.00,500MB,GL138,"1 Day"
GLO,YouTube_130_Time_Oneoff,130.00,1.5GB,GL140,"1 Day"
GLO,YouTube_50_Time_Night_Oneoff,50.00,500MB,GL141,"1 Day"
GLO,YouTube_200_Time_Night_Oneoff,200.00,2GB,GL142,"7 Days"
GLO,Monthly,285.00,1GB,GGFT1,"1 Month"
GLO,Monthly,570.00,2GB,GGFT2,"1 Month"
GLO,Monthly,855.00,3GB,GGFT3,"1 Month"
GLO,Monthly,1425.00,5GB,GGFT4,"1 Month"
GLO,"Social Plan",100.00,"400 Mb",GGF2,"1 Day"
GLO,"Social Plan",300.00,"1 Gb",GGF3,"3 Days"
GLO,"Social Plan",500.00,"1.5 Gb",GGF4,"7 Days"
GLO,"Social Plan",1000.00,"3.5 Gb",GGF5,"30 Days"
GLO,Monthly,2700.00,10GB,GGFT5,"1 Month"
